Absolute path,Class label
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0000.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0001.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0002.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0003.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0004.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0005.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0006.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0007.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0008.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0009.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0010.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0011.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0012.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0013.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0014.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0015.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0016.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0017.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0018.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0019.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0020.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0021.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0022.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0023.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0024.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0025.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0026.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0027.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0028.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0029.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0030.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0031.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0032.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0033.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0034.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0035.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0036.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0037.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0038.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0039.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0040.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0041.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0042.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0043.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0044.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0045.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0046.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0047.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0048.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0049.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0050.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0051.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0052.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0053.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0054.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0055.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0056.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0057.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0058.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0059.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0060.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0061.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0062.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0063.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0064.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0065.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0066.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0067.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0068.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0069.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0070.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0071.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0072.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0073.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0074.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0075.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0076.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0077.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0078.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0079.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0080.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0081.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0082.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0083.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0084.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0085.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0086.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0087.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0088.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0089.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0090.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0091.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0092.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0093.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0094.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0095.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0096.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0097.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0098.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0099.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0100.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0101.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0102.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0103.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0104.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0105.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0106.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0107.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0108.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0109.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0110.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0111.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0112.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0113.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0114.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0115.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0116.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0117.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0118.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0119.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0120.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0121.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0122.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0123.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0124.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0125.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0126.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0127.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0128.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0129.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0130.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0131.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0132.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0133.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0134.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0135.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0136.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0137.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0138.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0139.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0140.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0141.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0142.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0143.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0144.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0145.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0146.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0147.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0148.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0149.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0150.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0151.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0152.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0153.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0154.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0155.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0156.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0157.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0158.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0159.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0160.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0161.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0162.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0163.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0164.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0165.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0166.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0167.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0168.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0169.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0170.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0171.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0172.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0173.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0174.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0175.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0176.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0177.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0178.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0179.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0180.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0181.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0182.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0183.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0184.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0185.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0186.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0187.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0188.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0189.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0190.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0191.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0192.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0193.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0194.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0195.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0196.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0197.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0198.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0199.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0200.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0201.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0202.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0203.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0204.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0205.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0206.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0207.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0208.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0209.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0210.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0211.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0212.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0213.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0214.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0215.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0216.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0217.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0218.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0219.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0220.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0221.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0222.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0223.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0224.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0225.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0226.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0227.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0228.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0229.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0230.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0231.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0232.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0233.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0234.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0235.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0236.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0237.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0238.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0239.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0240.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0241.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0242.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0243.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0244.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0245.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0246.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0247.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0248.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0249.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0250.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0251.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0252.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0253.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0254.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0255.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0256.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0257.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0258.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0259.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0260.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0261.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0262.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0263.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0264.jpg,0
C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0265.jpg,0
