,Absolute path,Class label
1509,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0459.jpg,1
659,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0659.jpg,0
105,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0105.jpg,0
2027,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0977.jpg,1
886,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0886.jpg,0
691,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0691.jpg,0
2074,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/1024.jpg,1
397,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0397.jpg,0
1804,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0754.jpg,1
383,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0383.jpg,0
1982,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0932.jpg,1
1182,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0132.jpg,1
1758,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0708.jpg,1
1624,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0574.jpg,1
1930,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0880.jpg,1
1289,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0239.jpg,1
549,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0549.jpg,0
1015,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/1015.jpg,0
709,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0709.jpg,0
156,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0156.jpg,0
1068,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0018.jpg,1
182,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0182.jpg,0
223,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0223.jpg,0
1516,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0466.jpg,1
1043,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/1043.jpg,0
198,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0198.jpg,0
514,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0514.jpg,0
19,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0019.jpg,0
260,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0260.jpg,0
23,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0023.jpg,0
1661,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0611.jpg,1
2075,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/1025.jpg,1
1652,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0602.jpg,1
1336,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0286.jpg,1
437,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0437.jpg,0
141,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0141.jpg,0
1517,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0467.jpg,1
